iter	MultiClass
173	1.259848151
174	1.258452437
175	1.256775577
176	1.254846738
177	1.254157799
178	1.252173628
179	1.251325634
180	1.250496495
181	1.249044328
182	1.248270034
183	1.247589982
184	1.245829054
185	1.244927315
186	1.243204499
187	1.242533151
188	1.241452558
189	1.239296367
190	1.238046387
191	1.237044952
192	1.234661624
193	1.234198749
194	1.232866405
195	1.231949615
196	1.23072457
197	1.229342858
198	1.22812381
199	1.22742482
200	1.225792217
201	1.224664396
202	1.223328133
203	1.222164631
204	1.221202555
205	1.219747688
206	1.218516518
207	1.21754202
208	1.216253152
209	1.215652301
210	1.214566344
211	1.213943971
212	1.212747963
213	1.211462681
214	1.210589876
215	1.209219771
216	1.207878466
217	1.207433297
218	1.20622597
219	1.205481004
220	1.204183492
221	1.203026698
222	1.201303945
223	1.200600235
224	1.199541769
225	1.19755723
226	1.196189817
227	1.195535719
228	1.194366718
229	1.193319674
230	1.191967432
231	1.191392102
232	1.190652535
233	1.189540835
234	1.188407191
235	1.187658615
236	1.186401089
237	1.185218237
238	1.184209258
239	1.18345445
240	1.182068799
241	1.181172915
242	1.180225771
243	1.179394077
244	1.178674281
245	1.177427106
246	1.176456316
247	1.175912958
248	1.174683794
249	1.173593195
250	1.172698204
251	1.171336046
252	1.170013871
253	1.168484463
254	1.167670474
255	1.167106318
256	1.165851626
257	1.165158806
258	1.16347906
259	1.162525018
260	1.161741821
261	1.160829248
262	1.159320755
263	1.158064556
264	1.157528182
265	1.156089919
266	1.155304461
267	1.154386244
268	1.153357102
269	1.152731576
270	1.151520121
271	1.151033579
272	1.149692858
273	1.148957401
274	1.148365404
275	1.14758811
276	1.146536814
277	1.145599509
278	1.14407001
279	1.143300391
280	1.142530387
281	1.141034616
282	1.140141212
283	1.139617782
284	1.139157004
285	1.138164432
286	1.137184846
287	1.136072634
288	1.134833585
289	1.133828151
290	1.132530227
291	1.131659151
292	1.130071012
293	1.129111406
294	1.127639103
295	1.127147973
296	1.12639178
297	1.125690518
298	1.124143047
299	1.123010825
300	1.122180793
301	1.120630354
302	1.120166475
303	1.118946957
304	1.117426177
305	1.116537314
306	1.116303217
307	1.114825292
308	1.114336049
309	1.113395723
310	1.112229013
311	1.110968641
312	1.110235711
313	1.108514243
314	1.107674976
315	1.107078274
316	1.106200554
317	1.104944152
318	1.104331405
319	1.103494187
320	1.102295568
321	1.101097314
322	1.10007573
323	1.099499174
324	1.098440869
325	1.09775427
326	1.097120049
327	1.096428811
328	1.095808387
329	1.094971697
330	1.093978627
331	1.093333824
332	1.092037731
333	1.090484424
334	1.089912407
335	1.088919324
336	1.087561397
337	1.08691456
338	1.086174337
339	1.085648948
340	1.084658155
341	1.083855003
342	1.083060631
343	1.082465514
344	1.081632421
345	1.080997544
346	1.080288783
347	1.07928423
348	1.078215586
349	1.077886391
350	1.07734464
351	1.075933499
352	1.075408633
353	1.074672246
354	1.073991634
355	1.072961269
356	1.072249906
357	1.071559397
358	1.070909522
359	1.069936285
360	1.069180078
361	1.068777152
362	1.067839478
363	1.066966966
364	1.065779827
365	1.064764844
366	1.063672221
367	1.062830834
368	1.062419922
369	1.061461257
370	1.061150592
371	1.060071299
372	1.058986612
373	1.057194094
374	1.056280206
375	1.055586001
376	1.054717254
377	1.053227287
378	1.052199394
379	1.051129952
380	1.05055733
381	1.049956014
382	1.049039856
383	1.048398884
384	1.047774236
385	1.046997374
386	1.046496405
387	1.045549419
388	1.044727723
389	1.044200405
390	1.04276046
391	1.04221504
392	1.041702578
393	1.040297239
394	1.039397223
395	1.038807254
396	1.03820966
397	1.03758596
398	1.036482745
399	1.03519308
400	1.033903747
401	1.03308243
402	1.032553002
403	1.03181284
404	1.030996665
405	1.02958531
406	1.028619852
407	1.027655281
408	1.026463395
409	1.025548852
410	1.024494717
411	1.023485829
412	1.022509014
413	1.022063848
414	1.020829055
415	1.020179041
416	1.019248936
417	1.018360096
418	1.01728867
419	1.016236689
420	1.015699889
421	1.014881408
422	1.014343141
423	1.013509679
424	1.012522056
425	1.011701899
426	1.01108976
427	1.010345841
428	1.009722983
429	1.008834883
430	1.007982157
431	1.007626187
432	1.006963942
433	1.006197837
434	1.005803012
435	1.005180339
436	1.004328065
437	1.003916297
438	1.00326865
439	1.002708143
440	1.002090285
441	1.001268677
442	1.000563113
443	0.9999194137
444	0.9990953848
445	0.9980395367
446	0.9976245333
447	0.9972931963
448	0.996528327
449	0.9959077143
450	0.9952880698
451	0.9946183569
452	0.9937947702
453	0.992788246
454	0.9923189721
455	0.99087165
456	0.9892484425
457	0.9880200868
458	0.987086241
459	0.9862149968
460	0.9855979362
461	0.9848909735
462	0.9841327013
463	0.9829279905
464	0.9818833781
465	0.9811601015
466	0.9805050802
467	0.9798239507
468	0.9791123128
469	0.9783985585
470	0.9774934816
471	0.9768438448
472	0.9764079106
473	0.9751769981
474	0.9744106503
475	0.9731618039
476	0.9724100635
477	0.9714573167
478	0.9709386617
479	0.9702302111
480	0.9694450764
481	0.968935389
482	0.9683973416
483	0.967823383
484	0.9665715411
485	0.9657521424
486	0.9649639873
487	0.9642185923
488	0.9628462816
489	0.9621410568
490	0.9614716261
491	0.960919817
492	0.9603345595
493	0.959737968
494	0.9585605344
495	0.9576901015
496	0.9572090682
497	0.9569298961
498	0.9556836521
499	0.9551698716
