ID,Strand,Circtype,miRNA Binding count,Average free energy,length,GC_content,A_ratio,T_ratio,G_ratio,C_ratio,has_N,Tissue
sample_0170,0,type_0,84,-19.339,2544,0.4705,0.2795,0.25,0.2355,0.2351,FALSE,label_4
sample_0171,0,type_3,20,-20.343,735,0.5633,0.2993,0.1374,0.3184,0.2449,FALSE,label_1
sample_0172,0,type_0,10,-19.099,231,0.4805,0.1212,0.3983,0.3247,0.1558,FALSE,label_4
sample_0173,0,type_0,5,-18.671,208,0.4567,0.1538,0.3894,0.4038,0.0529,FALSE,label_0
sample_0174,0,type_0,47,-18.826,1551,0.3881,0.2592,0.3527,0.2244,0.1638,FALSE,label_5
sample_0175,0,type_0,1,-15.65,76,0.3684,0.25,0.3816,0.1579,0.2105,FALSE,label_0
sample_0176,0,type_3,16,-18.571,533,0.4503,0.2964,0.2533,0.2008,0.2495,FALSE,label_3
sample_0177,1,type_3,1,-17.76,252,0.3016,0.1984,0.5,0.2222,0.0794,FALSE,label_2
sample_0178,1,type_0,18,-19.643,530,0.4094,0.3038,0.2868,0.2113,0.1981,FALSE,label_2
sample_0179,0,type_0,9,-17.472,177,0.435,0.2825,0.2825,0.2373,0.1977,FALSE,label_0
sample_0180,0,type_3,11,-17.362,364,0.5632,0.2582,0.1786,0.3159,0.2473,FALSE,label_1
sample_0181,1,type_0,59,-18.996,2466,0.3844,0.3009,0.3147,0.1918,0.1926,FALSE,label_0
sample_0182,0,type_4,4,-17.737,250,0.395,0.295,0.31,0.19,0.205,TRUE,label_1
sample_0183,1,type_3,17,-19.972,568,0.5651,0.2799,0.1549,0.2236,0.3415,FALSE,label_1
sample_0184,1,type_3,2,-18.345,102,0.4118,0.1863,0.402,0.2255,0.1863,FALSE,label_2
sample_0185,0,type_0,8,-18.837,235,0.3404,0.3787,0.2809,0.1532,0.1872,FALSE,label_2
sample_0186,0,type_4,87,-20.626,2208,0.5249,0.2355,0.2396,0.2785,0.2464,FALSE,label_1
sample_0187,1,type_0,6,-17.825,250,0.57,0.16,0.27,0.235,0.335,TRUE,label_3
sample_0188,0,type_4,13,-18.463,710,0.3592,0.3507,0.2901,0.1901,0.169,FALSE,label_1
sample_0189,0,type_0,2,-15.83,137,0.3285,0.2774,0.3942,0.2117,0.1168,FALSE,label_2
sample_0190,1,type_3,10,-18.623,311,0.3441,0.2958,0.3601,0.2476,0.0965,FALSE,label_0
sample_0191,0,type_0,4,-19.378,250,0.575,0.155,0.27,0.22,0.355,TRUE,label_0
sample_0192,1,type_3,8,-17.376,227,0.4978,0.2907,0.2115,0.2159,0.2819,FALSE,label_1
sample_0193,0,type_0,9,-20.517,218,0.3624,0.3761,0.2615,0.2202,0.1422,FALSE,label_0
sample_0194,0,type_0,3,-20.497,259,0.3127,0.3089,0.3784,0.139,0.1737,FALSE,label_4
sample_0195,0,type_0,41,-18.521,1465,0.4041,0.2908,0.3051,0.2061,0.198,FALSE,label_3
sample_0196,1,type_0,13,-18.869,249,0.49,0.1566,0.3534,0.3855,0.1044,FALSE,label_1
sample_0197,0,type_0,21,-18.877,204,0.4559,0.3529,0.1912,0.1127,0.3431,FALSE,label_1
sample_0198,0,type_0,3,-18.88,158,0.4873,0.1899,0.3228,0.2848,0.2025,FALSE,label_4
sample_0199,1,type_3,39,-20.851,1317,0.5459,0.2726,0.1815,0.1875,0.3584,FALSE,label_1
sample_0200,0,type_4,5,-18.882,250,0.52,0.27,0.21,0.285,0.235,TRUE,label_1
sample_0201,1,type_3,7,-17.509,287,0.3624,0.338,0.2997,0.1463,0.216,FALSE,label_4
sample_0202,1,type_0,18,-20.931,352,0.4347,0.321,0.2443,0.2273,0.2074,FALSE,label_2
sample_0203,0,type_0,6,-19.433,389,0.3111,0.3625,0.3265,0.162,0.1491,FALSE,label_5
sample_0204,0,type_0,2,-20.057,238,0.4412,0.2311,0.3277,0.1681,0.2731,FALSE,label_2
sample_0205,1,type_3,4,-19.108,270,0.5704,0.2148,0.2148,0.263,0.3074,FALSE,label_0
sample_0206,0,type_0,1,-20.34,250,0.43,0.305,0.265,0.22,0.21,TRUE,label_0
sample_0207,0,type_3,13,-19.055,598,0.4465,0.3261,0.2274,0.2659,0.1806,FALSE,label_6
sample_0208,0,type_0,12,-19.088,247,0.4453,0.2915,0.2632,0.2429,0.2024,FALSE,label_6
sample_0209,1,type_1,7,-19.01,147,0.4558,0.1769,0.3673,0.1769,0.2789,FALSE,label_2
sample_0210,1,type_3,37,-20.644,893,0.6058,0.1915,0.2027,0.1948,0.411,FALSE,label_0
sample_0211,1,type_0,1,-17.5,250,0.495,0.26,0.245,0.275,0.22,TRUE,label_1
sample_0212,1,type_0,3,-23.007,169,0.3432,0.4438,0.213,0.1716,0.1716,FALSE,label_6
sample_0213,1,type_0,2,-22.92,250,0.485,0.29,0.225,0.195,0.29,TRUE,label_2
sample_0214,1,type_0,4,-17.465,286,0.4301,0.2867,0.2832,0.1993,0.2308,FALSE,label_0
sample_0215,1,type_3,18,-19.118,495,0.5313,0.2747,0.1939,0.2727,0.2586,FALSE,label_1
sample_0216,1,type_0,34,-19.999,948,0.4283,0.2943,0.2774,0.1741,0.2542,FALSE,label_0
sample_0217,1,type_0,15,-18.755,211,0.4265,0.2464,0.327,0.1896,0.237,FALSE,label_3
sample_0218,1,type_4,26,-18.419,1051,0.3901,0.3463,0.2636,0.2008,0.1893,FALSE,label_4
sample_0219,1,type_0,6,-16.848,218,0.3394,0.2661,0.3945,0.1927,0.1468,FALSE,label_4
sample_0220,1,type_0,4,-16.242,235,0.383,0.3149,0.3021,0.1319,0.2511,FALSE,label_4
sample_0221,0,type_0,14,-19.432,566,0.4346,0.3269,0.2385,0.2332,0.2014,FALSE,label_1
sample_0222,0,type_3,8,-20.282,278,0.536,0.2338,0.2302,0.2662,0.2698,FALSE,label_1
sample_0223,1,type_0,35,-18.091,1834,0.3359,0.3839,0.2803,0.1734,0.1625,FALSE,label_1
sample_0224,0,type_0,1,-20.49,250,0.515,0.27,0.215,0.28,0.235,TRUE,label_5
sample_0225,1,type_3,19,-18.504,597,0.4573,0.3333,0.2094,0.2144,0.2429,FALSE,label_3
sample_0226,0,type_3,13,-19.436,481,0.499,0.264,0.237,0.289,0.21,FALSE,label_1
sample_0227,0,type_4,24,-19.368,768,0.5039,0.1966,0.2995,0.2721,0.2318,FALSE,label_0
sample_0228,0,type_0,3,-20.04,38,0.6579,0.2105,0.1316,0.4211,0.2368,FALSE,label_2
sample_0229,1,type_3,44,-21.786,1677,0.588,0.2021,0.2099,0.2618,0.3262,FALSE,label_1
sample_0230,0,type_0,4,-16.485,213,0.3803,0.2817,0.338,0.1878,0.1925,FALSE,label_2
sample_0231,1,type_0,2,-20.525,250,0.475,0.385,0.14,0.29,0.185,TRUE,label_1
sample_0232,0,type_0,6,-20.209,228,0.5526,0.2061,0.2412,0.3289,0.2237,FALSE,label_3
sample_0233,0,type_0,49,-20.005,1654,0.5405,0.1935,0.266,0.2745,0.266,FALSE,label_1
sample_0234,1,type_0,13,-17.676,754,0.4005,0.3316,0.2679,0.1804,0.2202,FALSE,label_0
sample_0235,0,type_0,10,-18.667,183,0.4536,0.2678,0.2787,0.2077,0.2459,FALSE,label_3
sample_0236,1,type_3,36,-19.179,598,0.5,0.2559,0.2441,0.2542,0.2458,FALSE,label_3
sample_0237,1,type_3,31,-19.884,936,0.4509,0.3088,0.2404,0.2276,0.2233,FALSE,label_1
sample_0238,1,type_0,40,-20.1,638,0.4451,0.2602,0.2947,0.2633,0.1818,FALSE,label_2
sample_0239,1,type_0,1,-26.51,79,0.5443,0.1392,0.3165,0.2152,0.3291,FALSE,label_0
sample_0240,1,type_3,15,-18.219,572,0.4441,0.2727,0.2832,0.2378,0.2063,FALSE,label_6
sample_0241,0,type_0,16,-19.957,240,0.5042,0.225,0.2708,0.2917,0.2125,FALSE,label_4
sample_0242,1,type_0,3,-18.167,250,0.49,0.33,0.18,0.245,0.245,TRUE,label_5
sample_0243,1,type_3,12,-18.669,499,0.4309,0.3647,0.2044,0.2044,0.2265,FALSE,label_5
sample_0244,1,type_3,9,-18.349,257,0.4708,0.2802,0.249,0.2685,0.2023,FALSE,label_1
sample_0245,1,type_0,3,-18.473,76,0.4868,0.25,0.2632,0.3158,0.1711,FALSE,label_3
sample_0246,0,type_0,4,-23.418,248,0.4274,0.3145,0.2581,0.1774,0.25,FALSE,label_2
sample_0247,0,type_3,13,-16.901,216,0.412,0.338,0.25,0.1852,0.2269,FALSE,label_6
sample_0248,0,type_0,7,-17.956,231,0.5368,0.2251,0.2381,0.2294,0.3074,FALSE,label_0
sample_0249,0,type_0,3,-17.566,90,0.3556,0.2889,0.3556,0.2,0.1556,FALSE,label_1
sample_0250,1,type_3,2,-16.46,250,0.535,0.225,0.24,0.23,0.305,TRUE,label_1
sample_0251,1,type_0,13,-18.873,175,0.3029,0.3543,0.3429,0.1086,0.1943,FALSE,label_0
sample_0252,1,type_0,4,-15.969,62,0.5806,0.1129,0.3065,0.2419,0.3387,FALSE,label_3
sample_0253,0,type_0,12,-19.093,325,0.5908,0.2369,0.1723,0.3077,0.2831,FALSE,label_2
sample_0254,0,type_0,4,-21.45,184,0.4293,0.3043,0.2663,0.1957,0.2337,FALSE,label_6
sample_0255,0,type_3,5,-17.711,84,0.631,0.2381,0.131,0.3571,0.2738,FALSE,label_2
sample_0256,0,type_1,2,-19.145,198,0.2929,0.3535,0.3535,0.1465,0.1465,FALSE,label_5
